Source,CorrID,Target,WorkID,Overallcount,Type,Label,Weight
"Hugo von Hofmannsthal","11740","Der Schleier der Beatrice. Schauspiel in fünf Akten","29857","115","Directed","Hugo von Hofmannsthal–Der Schleier der Beatrice. Schauspiel in fünf Akten","21"
"Hugo von Hofmannsthal","11740","Anatol","29935","96","Directed","Hugo von Hofmannsthal–Anatol","18"
"Hugo von Hofmannsthal","11740","Das Märchen. Schauspiel in drei Aufzügen","29823","85","Directed","Hugo von Hofmannsthal–Das Märchen. Schauspiel in drei Aufzügen","12"
"Hugo von Hofmannsthal","11740","Freiwild. Schauspiel in 3 Akten","29899","62","Directed","Hugo von Hofmannsthal–Freiwild. Schauspiel in 3 Akten","13"
"Hugo von Hofmannsthal","11740","Der einsame Weg. Schauspiel in fünf Akten","29985","58","Directed","Hugo von Hofmannsthal–Der einsame Weg. Schauspiel in fünf Akten","16"
"Hugo von Hofmannsthal","11740","Reigen. Zehn Dialoge","29855","55","Directed","Hugo von Hofmannsthal–Reigen. Zehn Dialoge","2"
"Hugo von Hofmannsthal","11740","Sterben. Novelle","30117","52","Directed","Hugo von Hofmannsthal–Sterben. Novelle","10"
"Hugo von Hofmannsthal","11740","Der Weg ins Freie. Roman","29923","47","Directed","Hugo von Hofmannsthal–Der Weg ins Freie. Roman","19"
"Hugo von Hofmannsthal","11740","Der grüne Kakadu. Groteske in einem Akt","29843","46","Directed","Hugo von Hofmannsthal–Der grüne Kakadu. Groteske in einem Akt","7"
"Hugo von Hofmannsthal","11740","Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","29937","40","Directed","Hugo von Hofmannsthal–Der junge Medardus. Dramatische Historie in einem Vorspiel und fünf Aufzügen","12"
"Hugo von Hofmannsthal","11740","Lebendige Stunden. Vier Einakter","29863","38","Directed","Hugo von Hofmannsthal–Lebendige Stunden. Vier Einakter","3"
