Source,SID,Target,TID,Overallcount,Type,Label,Weight
"Paul Goldmann","11485","Ulrich","88956","1","Directed","Paul Goldmann–Ulrich","1"
"Paul Goldmann","11485","Leo P. Reckford","89004","3","Directed","Paul Goldmann–Leo P. Reckford","3"
"Paul Goldmann","11485","Rena R. Schlein","89007","3","Directed","Paul Goldmann–Rena R. Schlein","3"
"Paul Goldmann","11485","?? [Partnerin von Hector Chainaye, 1891]","89387","1","Directed","Paul Goldmann–?? [Partnerin von Hector Chainaye, 1891]","1"
"Paul Goldmann","11485","Salo Schottlaender","89393","2","Directed","Paul Goldmann–Salo Schottlaender","2"
"Paul Goldmann","11485","Maria Christina von Österreich","89417","1","Directed","Paul Goldmann–Maria Christina von Österreich","1"
"Paul Goldmann","11485","Alfons XIII.","89420","1","Directed","Paul Goldmann–Alfons XIII.","1"
"Paul Goldmann","11485","Sully Prudhomme","89450","1","Directed","Paul Goldmann–Sully Prudhomme","1"
"Paul Goldmann","11485","Wilhelm Friedrich","89803","1","Directed","Paul Goldmann–Wilhelm Friedrich","1"
"Paul Goldmann","11485","Max Jeckel","89816","1","Directed","Paul Goldmann–Max Jeckel","1"
"Paul Goldmann","11485","Karl Mühling","89857","1","Directed","Paul Goldmann–Karl Mühling","1"
"Paul Goldmann","11485","?? [Dänischer Maler in Paris, 1892]","89883","1","Directed","Paul Goldmann–?? [Dänischer Maler in Paris, 1892]","1"
"Paul Goldmann","11485","Georges d' Esparbès","92652","1","Directed","Paul Goldmann–Georges d' Esparbès","1"
"Paul Goldmann","11485","François de Nion","92655","1","Directed","Paul Goldmann–François de Nion","1"
"Paul Goldmann","11485","Henry de Fleurigny","92660","1","Directed","Paul Goldmann–Henry de Fleurigny","1"
"Paul Goldmann","11485","Jean Ajalbert","92663","1","Directed","Paul Goldmann–Jean Ajalbert","1"
"Paul Goldmann","11485","Henri Antoine Jules-Bois","92669","1","Directed","Paul Goldmann–Henri Antoine Jules-Bois","1"
"Paul Goldmann","11485","Jules Case","92672","1","Directed","Paul Goldmann–Jules Case","1"
"Paul Goldmann","11485","Paul Adam","92677","2","Directed","Paul Goldmann–Paul Adam","2"
"Paul Goldmann","11485","Cornelius Herz","92686","1","Directed","Paul Goldmann–Cornelius Herz","1"
"Paul Goldmann","11485","Jules Chéret","92695","1","Directed","Paul Goldmann–Jules Chéret","1"
"Paul Goldmann","11485","Henri-Gabriel Ibels","92786","1","Directed","Paul Goldmann–Henri-Gabriel Ibels","1"
"Paul Goldmann","11485","Adolphe Léon Willette","92789","1","Directed","Paul Goldmann–Adolphe Léon Willette","1"
"Paul Goldmann","11485","Lucien Muhlfeld","92935","1","Directed","Paul Goldmann–Lucien Muhlfeld","1"
"Paul Goldmann","11485","[MMe. Georges] Aubry","93009","5","Directed","Paul Goldmann–[MMe. Georges] Aubry","5"
"Paul Goldmann","11485","Hippolyte Fierens-Gevaert","93109","1","Directed","Paul Goldmann–Hippolyte Fierens-Gevaert","1"
"Paul Goldmann","11485","?? [Mitarbeiterin von La Vie Parisienne]","93196","1","Directed","Paul Goldmann–?? [Mitarbeiterin von La Vie Parisienne]","1"
"Paul Goldmann","11485","Baptistin Lucien de Combles de Nayve","93212","1","Directed","Paul Goldmann–Baptistin Lucien de Combles de Nayve","1"
"Paul Goldmann","11485","r. p.","93225","1","Directed","Paul Goldmann–r. p.","1"
"Paul Goldmann","11485","Jules Frank","93312","1","Directed","Paul Goldmann–Jules Frank","1"
"Paul Goldmann","11485","Alexandre Ribot","93314","1","Directed","Paul Goldmann–Alexandre Ribot","1"
"Paul Goldmann","11485","Louis Debarge","93458","1","Directed","Paul Goldmann–Louis Debarge","1"
"Paul Goldmann","11485","?? [Kindheitsfreund von Paul Goldmann]","93501","1","Directed","Paul Goldmann–?? [Kindheitsfreund von Paul Goldmann]","1"
"Paul Goldmann","11485","Hermann Mamroth","93541","3","Directed","Paul Goldmann–Hermann Mamroth","3"
"Paul Goldmann","11485","Jules Huret","93549","2","Directed","Paul Goldmann–Jules Huret","2"
"Paul Goldmann","11485","Joseph Samuel Bloch","93584","1","Directed","Paul Goldmann–Joseph Samuel Bloch","1"
"Paul Goldmann","11485","M. O. Riese","93601","1","Directed","Paul Goldmann–M. O. Riese","1"
"Paul Goldmann","11485","Wilhelm Gollmann","93607","1","Directed","Paul Goldmann–Wilhelm Gollmann","1"
"Paul Goldmann","11485","Christian Schefer","93611","6","Directed","Paul Goldmann–Christian Schefer","6"
"Paul Goldmann","11485","?? [Junge Frau, in die Goldmann Dezember 1895 verliebt ist]","93658","1","Directed","Paul Goldmann–?? [Junge Frau, in die Goldmann Dezember 1895 verliebt ist]","1"
"Paul Goldmann","11485","Henri de Riaz","93707","4","Directed","Paul Goldmann–Henri de Riaz","4"
"Paul Goldmann","11485","Adele Doré","93713","1","Directed","Paul Goldmann–Adele Doré","1"
"Paul Goldmann","11485","Rudolf Leyrer","93718","1","Directed","Paul Goldmann–Rudolf Leyrer","1"
"Paul Goldmann","11485","Beck","93723","1","Directed","Paul Goldmann–Beck","1"
"Paul Goldmann","11485","Justin de Selves","93756","1","Directed","Paul Goldmann–Justin de Selves","1"
"Paul Goldmann","11485","[Bl]an[qui?]","93760","1","Directed","Paul Goldmann–[Bl]an[qui?]","1"
